Periodo;Producto;Region; Ventas ; Costos 
Q4 2019;Consolas;DEU - Europa/Alemania; $14,209,769.13 ; $10,536,280.66 
Q1 2017;Consolas;CHN - Asia/China; $13,802,140.65 ; $12,035,934.51 
Q1 2019;Consolas;IND - Asia/India; $13,407,234.96 ; $11,244,777.71 
Q4 2017;Consolas;USA - América/Estados Unidos; $13,377,359.06 ; $11,018,549.37 
Q3 2018;Consolas;IND - Asia/India; $12,795,676.87 ; $10,469,190.17 
Q2 2017;Celulares;USA - América/Estados Unidos; $12,590,455.47 ; $10,537,663.82 
Q1 2017;Celulares;USA - América/Estados Unidos; $12,002,116.37 ; $9,907,643.41 
Q2 2018;Celulares;USA - América/Estados Unidos; $11,781,894.35 ; $9,015,710.46 
Q1 2018;Consolas;IND - Asia/India; $11,396,149.72 ; $10,039,465.23 
Q4 2019;Celulares;USA - América/Estados Unidos; $11,364,836.49 ; $9,272,078.87 
Q2 2018;Consolas;IND - Asia/India; $10,885,874.35 ; $8,976,071.84 
Q3 2018;Celulares;CHN - Asia/China; $10,469,237.69 ; $9,684,044.87 
Q3 2019;Celulares;USA - América/Estados Unidos; $10,440,865.99 ; $8,783,672.49 
Q4 2018;Celulares;USA - América/Estados Unidos; $10,356,665.30 ; $7,963,948.93 
Q4 2019;Consolas;CHN - Asia/China; $10,308,172.75 ; $9,487,336.77 
Q2 2019;Celulares;IND - Asia/India; $10,161,272.81 ; $8,644,664.93 
Q3 2017;Celulares;CHN - Asia/China; $10,151,987.86 ; $9,199,369.82 
Q2 2019;Consolas;DEU - Europa/Alemania; $9,913,792.42 ; $8,383,509.59 
Q2 2019;Celulares;USA - América/Estados Unidos; $9,878,665.46 ; $7,596,382.14 
Q2 2018;Consolas;DEU - Europa/Alemania; $9,529,651.43 ; $7,777,963.95 
Q1 2019;Consolas;DEU - Europa/Alemania; $9,473,179.42 ; $8,261,965.76 
Q4 2017;Consolas;IND - Asia/India; $9,463,930.56 ; $8,801,176.07 
Q4 2017;Celulares;CHN - Asia/China; $9,449,157.98 ; $8,877,235.26 
Q1 2018;Celulares;USA - América/Estados Unidos; $9,442,841.74 ; $8,017,420.10 
Q1 2019;Celulares;USA - América/Estados Unidos; $9,373,916.08 ; $7,947,450.59 
Q1 2018;Consolas;DEU - Europa/Alemania; $9,082,949.02 ; $7,340,505.74 
Q3 2017;Celulares;USA - América/Estados Unidos; $9,043,848.34 ; $7,077,794.35 
Q3 2019;Celulares;IND - Asia/India; $8,938,156.64 ; $7,874,090.37 
Q1 2017;Consolas;IND - Asia/India; $8,938,156.64 ; $8,790,246.00 
Q3 2018;Celulares;USA - América/Estados Unidos; $8,796,071.85 ; $7,056,596.21 
Q4 2017;Celulares;USA - América/Estados Unidos; $8,736,234.50 ; $7,512,317.59 
Q3 2017;Consolas;IND - Asia/India; $8,620,881.02 ; $8,028,480.82 
Q2 2017;Consolas;IND - Asia/India; $8,618,936.76 ; $8,386,949.16 
Q1 2017;Celulares;CHN - Asia/China; $8,590,143.49 ; $7,464,538.48 
Q4 2018;Consolas;IND - Asia/India; $8,580,630.37 ; $7,280,534.86 
Q4 2018;Consolas;DEU - Europa/Alemania; $8,424,764.31 ; $6,460,464.00 
Q3 2017;Consolas;CAN - América/Canadá; $8,246,393.41 ; $7,033,688.50 
Q2 2017;Celulares;CHN - Asia/China; $8,244,231.71 ; $7,237,354.23 
Q1 2018;Celulares;CHN - Asia/China; $8,238,088.59 ; $7,739,467.44 
Q1 2019;Consolas;CHN - Asia/China; $7,976,562.13 ; $7,243,580.74 
Q2 2019;Celulares;DEU - Europa/Alemania; $7,821,891.26 ; $5,785,132.13 
Q3 2019;Consolas;CHN - Asia/China; $7,791,060.76 ; $7,170,661.48 
Q4 2018;Celulares;CHN - Asia/China; $7,613,991.09 ; $6,457,250.13 
Q3 2019;Celulares;DEU - Europa/Alemania; $7,545,010.16 ; $6,392,247.21 
Q1 2019;Celulares;IND - Asia/India; $7,541,569.66 ; $6,730,648.20 
Q3 2018;Consolas;CAN - América/Canadá; $7,535,497.43 ; $6,057,948.91 
Q4 2019;Consolas;CAN - América/Canadá; $7,407,777.13 ; $5,955,271.81 
Q2 2019;Celulares;CHN - Asia/China; $7,052,960.24 ; $6,300,293.59 
Q2 2018;Celulares;CHN - Asia/China; $7,028,299.39 ; $6,354,754.04 
Q2 2019;Consolas;CHN - Asia/China; $6,907,538.37 ; $6,323,054.36 
Q1 2019;Celulares;DEU - Europa/Alemania; $6,875,694.74 ; $5,481,909.84 
Q4 2019;Celulares;IND - Asia/India; $6,846,247.64 ; $6,133,096.84 
Q3 2019;Consolas;CAN - América/Canadá; $6,523,266.43 ; $5,135,337.40 
Q1 2018;Celulares;IND - Asia/India; $6,512,085.55 ; $5,854,299.13 
Q4 2018;Consolas;CAN - América/Canadá; $6,243,697.87 ; $5,297,683.04 
Q4 2017;Consolas;DEU - Europa/Alemania; $6,151,415.21 ; $4,921,132.17 
Q4 2019;Celulares;DEU - Europa/Alemania; $6,133,713.29 ; $5,277,985.49 
Q3 2018;Consolas;DEU - Europa/Alemania; $6,119,039.34 ; $5,274,861.67 
Q4 2017;Audio;CHN - Asia/China; $6,081,141.26 ; $3,609,025.14 
Q2 2018;Celulares;IND - Asia/India; $6,027,715.55 ; $5,114,425.32 
Q3 2019;Celulares;CHN - Asia/China; $5,877,466.89 ; $5,263,790.20 
Q4 2019;Audio;USA - América/Estados Unidos; $5,864,048.03 ; $3,059,503.32 
Q3 2017;Audio;CHN - Asia/China; $5,821,756.05 ; $3,455,085.66 
Q4 2017;Audio;USA - América/Estados Unidos; $5,682,418.00 ; $3,170,624.53 
Q3 2017;Audio;USA - América/Estados Unidos; $5,657,385.29 ; $3,246,847.21 
Q2 2019;Audio;USA - América/Estados Unidos; $5,511,701.74 ; $3,514,708.36 
Q1 2019;Consolas;CAN - América/Canadá; $5,463,235.63 ; $4,827,975.68 
Q2 2017;Consolas;CAN - América/Canadá; $5,395,788.28 ; $4,337,790.58 
Q2 2017;Consolas;DEU - Europa/Alemania; $5,382,488.31 ; $4,258,592.61 
Q4 2017;Celulares;IND - Asia/India; $5,362,893.98 ; $4,387,822.35 
Q1 2018;Consolas;CAN - América/Canadá; $5,329,985.98 ; $4,663,737.74 
Q2 2018;Audio;USA - América/Estados Unidos; $5,306,720.99 ; $2,960,996.50 
Q2 2017;Celulares;IND - Asia/India; $5,303,961.08 ; $4,339,604.52 
Q1 2017;Audio;USA - América/Estados Unidos; $5,096,136.70 ; $2,924,739.32 
Q4 2019;Celulares;CHN - Asia/China; $5,075,994.16 ; $4,609,551.46 
Q3 2018;Celulares;DEU - Europa/Alemania; $5,011,282.22 ; $4,090,788.80 
Q4 2018;Audio;USA - América/Estados Unidos; $4,977,622.07 ; $3,174,135.81 
Q1 2017;Consolas;CAN - América/Canadá; $4,966,577.85 ; $4,454,559.51 
Q3 2018;Celulares;IND - Asia/India; $4,961,588.99 ; $3,905,931.76 
Q1 2018;Audio;CHN - Asia/China; $4,950,969.48 ; $3,465,678.64 
Q3 2017;Video Juegos;USA - América/Estados Unidos; $4,939,332.55 ; $2,974,734.90 
Q4 2018;Celulares;IND - Asia/India; $4,928,064.74 ; $4,145,832.24 
Q1 2018;Audio;USA - América/Estados Unidos; $4,864,494.22 ; $3,101,996.31 
Q3 2019;Audio;USA - América/Estados Unidos; $4,756,394.49 ; $2,864,559.65 
Q2 2019;Consolas;CAN - América/Canadá; $4,699,557.53 ; $3,976,548.68 
Q1 2017;Audio;CHN - Asia/China; $4,670,686.37 ; $2,771,950.82 
Q2 2019;Audio;IND - Asia/India; $4,663,386.07 ; $3,108,924.05 
Q1 2019;Audio;USA - América/Estados Unidos; $4,652,994.56 ; $2,596,236.10 
Q1 2018;Celulares;DEU - Europa/Alemania; $4,650,469.90 ; $3,712,225.61 
Q1 2017;Consolas;DEU - Europa/Alemania; $4,613,561.41 ; $3,395,581.19 
Q1 2018;Video Juegos;USA - América/Estados Unidos; $4,602,962.28 ; $2,709,435.99 
Q1 2018;Celulares;CAN - América/Canadá; $4,600,619.48 ; $4,077,821.81 
Q3 2018;Audio;CHN - Asia/China; $4,568,394.62 ; $2,616,444.19 
Q4 2019;Video Juegos;USA - América/Estados Unidos; $4,553,994.76 ; $2,800,282.49 
Q3 2019;Audio;IND - Asia/India; $4,553,400.55 ; $2,573,661.18 
Q4 2018;Celulares;CAN - América/Canadá; $4,552,696.36 ; $3,693,697.05 
Q4 2018;Celulares;DEU - Europa/Alemania; $4,541,474.51 ; $3,575,813.61 
Q1 2019;Video Juegos;USA - América/Estados Unidos; $4,537,902.83 ; $2,367,601.48 
Q4 2017;Consolas;CAN - América/Canadá; $4,505,761.35 ; $3,981,835.61 
Q2 2017;Video Juegos;USA - América/Estados Unidos; $4,490,302.29 ; $2,342,766.41 
Q1 2019;Celulares;CHN - Asia/China; $4,466,874.79 ; $4,211,624.81 
Q3 2018;Celulares;CAN - América/Canadá; $4,414,735.87 ; $3,855,908.54 
Q2 2018;Consolas;CAN - América/Canadá; $4,414,735.87 ; $3,809,977.53 
Q3 2018;Audio;USA - América/Estados Unidos; $4,383,025.55 ; $2,794,972.82 
Q4 2017;Video Juegos;CHN - Asia/China; $4,371,496.57 ; $3,060,047.60 
Q3 2017;Video Juegos;CHN - Asia/China; $4,371,496.55 ; $2,824,659.31 
Q3 2017;Consolas;DEU - Europa/Alemania; $4,354,372.56 ; $3,651,058.72 
Q2 2017;Audio;USA - América/Estados Unidos; $4,323,994.79 ; $2,255,997.28 
Q2 2018;Celulares;CAN - América/Canadá; $4,284,890.69 ; $3,705,851.41 
Q3 2018;Video Juegos;USA - América/Estados Unidos; $4,224,429.24 ; $2,693,838.93 
Q3 2017;Celulares;DEU - Europa/Alemania; $4,212,382.15 ; $3,296,974.93 
Q2 2018;Video Juegos;USA - América/Estados Unidos; $4,210,578.63 ; $2,638,713.44 
Q2 2018;TV;USA - América/Estados Unidos; $4,183,148.16 ; $3,575,604.90 
Q2 2017;Video Juegos;CHN - Asia/China; $4,164,035.67 ; $2,752,890.25 
Q3 2017;Celulares;IND - Asia/India; $4,160,866.02 ; $3,443,475.33 
Q3 2019;Video Juegos;USA - América/Estados Unidos; $4,156,072.86 ; $2,555,597.60 
Q2 2019;Video Juegos;USA - América/Estados Unidos; $4,156,072.84 ; $2,604,555.39 
Q2 2017;Celulares;CAN - América/Canadá; $4,123,196.70 ; $3,693,697.05 
Q4 2019;TV;USA - América/Estados Unidos; $4,116,110.65 ; $3,504,495.55 
Q2 2017;Audio;CHN - Asia/China; $4,108,329.50 ; $2,516,351.82 
Q2 2018;Celulares;DEU - Europa/Alemania; $4,093,723.50 ; $3,396,754.12 
Q3 2019;Celulares;CAN - América/Canadá; $4,084,662.16 ; $3,630,810.81 
Q4 2017;TV;CHN - Asia/China; $4,054,094.19 ; $3,689,225.71 
Q4 2017;TV;USA - América/Estados Unidos; $4,051,187.61 ; $3,458,377.08 
Q2 2019;Audio;DEU - Europa/Alemania; $4,021,632.77 ; $2,300,948.46 
Q1 2018;Video Juegos;CHN - Asia/China; $4,020,187.23 ; $2,532,717.95 
Q3 2017;TV;USA - América/Estados Unidos; $3,963,661.93 ; $3,225,458.83 
Q1 2019;Celulares;CAN - América/Canadá; $3,937,467.12 ; $3,543,720.41 
Q4 2017;Consolas;IDN - Asia/Indonesia; $3,916,731.84 ; $3,565,583.77 
Q4 2018;Audio;CHN - Asia/China; $3,910,688.02 ; $2,639,714.41 
Q1 2019;TV;USA - América/Estados Unidos; $3,891,595.47 ; $3,279,253.32 
Q3 2018;TV;USA - América/Estados Unidos; $3,879,838.34 ; $3,131,282.58 
Q2 2019;Celulares;CAN - América/Canadá; $3,867,777.44 ; $3,460,642.97 
Q2 2017;Consolas;IDN - Asia/Indonesia; $3,845,518.53 ; $3,755,049.15 
Q2 2017;TV;CHN - Asia/China; $3,826,761.76 ; $3,390,271.75 
Q3 2019;TV;USA - América/Estados Unidos; $3,810,761.18 ; $3,230,862.74 
Q2 2018;Audio;CHN - Asia/China; $3,792,629.47 ; $2,609,067.52 
Q1 2017;Video Juegos;USA - América/Estados Unidos; $3,788,278.61 ; $2,174,142.51 
Q4 2018;Video Juegos;USA - América/Estados Unidos; $3,777,136.75 ; $1,970,680.04 
Q1 2017;Consolas;IDN - Asia/Indonesia; $3,776,848.56 ; $3,758,469.31 
Q2 2019;TV;USA - América/Estados Unidos; $3,766,060.15 ; $3,134,484.84 
Q1 2017;Celulares;IND - Asia/India; $3,741,553.94 ; $3,359,762.72 
Q1 2019;Audio;IND - Asia/India; $3,727,107.79 ; $2,346,697.50 
Q3 2019;Audio;DEU - Europa/Alemania; $3,690,849.12 ; $1,892,399.01 
Q4 2017;Video Juegos;USA - América/Estados Unidos; $3,679,732.00 ; $2,053,183.80 
Q3 2019;Video Juegos;IND - Asia/India; $3,670,421.74 ; $2,202,253.04 
Q1 2019;Video Juegos;IND - Asia/India; $3,670,421.74 ; $2,446,947.83 
Q4 2019;Audio;IND - Asia/India; $3,656,518.63 ; $2,437,679.08 
Q3 2017;Celulares;CAN - América/Canadá; $3,642,157.09 ; $3,232,925.96 
Q1 2017;Celulares;CAN - América/Canadá; $3,642,157.09 ; $3,054,712.40 
Q1 2017;TV;CHN - Asia/China; $3,612,913.29 ; $3,336,503.66 
Q1 2017;TV;USA - América/Estados Unidos; $3,597,272.98 ; $2,708,769.84 
Q4 2017;Celulares;DEU - Europa/Alemania; $3,588,325.54 ; $2,651,373.87 
Q1 2017;Celulares;DEU - Europa/Alemania; $3,555,405.12 ; $2,716,619.75 
Q2 2017;TV;USA - América/Estados Unidos; $3,547,586.90 ; $3,036,149.89 
Q1 2017;Video Juegos;CHN - Asia/China; $3,540,030.31 ; $2,168,268.56 
Q3 2018;Video Juegos;CHN - Asia/China; $3,477,670.65 ; $2,190,932.51 
Q4 2018;Video Juegos;CHN - Asia/China; $3,372,640.34 ; $1,931,603.11 
Q1 2019;Audio;CHN - Asia/China; $3,350,156.09 ; $1,988,244.81 
Q4 2017;Celulares;CAN - América/Canadá; $3,286,156.77 ; $2,601,540.78 
Q1 2018;TV;USA - América/Estados Unidos; $3,284,466.70 ; $2,776,354.05 
Q3 2019;Consolas;IDN - Asia/Indonesia; $3,253,900.30 ; $3,498,593.60 
Q4 2018;TV;USA - América/Estados Unidos; $3,242,996.21 ; $2,505,458.61 
Q2 2018;Audio;IND - Asia/India; $3,227,228.24 ; $2,114,390.91 
Q4 2019;Audio;DEU - Europa/Alemania; $3,217,306.22 ; $1,918,180.16 
Q3 2017;TV;CHN - Asia/China; $3,198,933.68 ; $2,959,013.65 
Q4 2018;TV;CHN - Asia/China; $3,190,624.84 ; $3,015,140.47 
Q4 2019;Celulares;CAN - América/Canadá; $3,190,210.59 ; $2,867,967.10 
Q2 2017;Consolas;BRA - América/Brasil; $3,173,562.65 ; $2,804,543.74 
Q4 2019;Consolas;BRA - América/Brasil; $3,114,792.98 ; $2,779,869.00 
Q2 2018;TV;CHN - Asia/China; $3,073,537.66 ; $2,510,055.75 
Q2 2018;Video Juegos;CHN - Asia/China; $3,064,167.11 ; $1,930,425.28 
Q4 2019;Video Juegos;IND - Asia/India; $3,054,813.03 ; $1,832,887.82 
Q2 2018;Consolas;IDN - Asia/Indonesia; $3,021,478.85 ; $3,068,211.05 
Q1 2019;Video Juegos;DEU - Europa/Alemania; $2,939,952.23 ; $1,744,371.66 
Q4 2018;Video Juegos;IND - Asia/India; $2,917,414.33 ; $1,795,331.89 
Q3 2019;Consolas;BRA - América/Brasil; $2,899,979.67 ; $2,581,300.58 
Q3 2017;Consolas;BRA - América/Brasil; $2,899,979.67 ; $2,502,722.18 
Q3 2019;TV;IND - Asia/India; $2,881,554.98 ; $2,512,124.85 
Q1 2019;Audio;DEU - Europa/Alemania; $2,870,660.43 ; $1,636,276.45 
Q2 2019;Video Juegos;IND - Asia/India; $2,855,979.04 ; $1,614,249.03 
Q2 2017;Celulares;DEU - Europa/Alemania; $2,849,552.63 ; $2,311,085.45 
Q1 2018;TV;CHN - Asia/China; $2,847,158.10 ; $2,522,404.13 
Q1 2017;Consolas;NGA - África/Nigeria; $2,789,844.60 ; $2,431,750.85 
Q3 2019;Accesorios;USA - América/Estados Unidos; $2,767,729.57 ; $2,198,682.73 
Q2 2019;Consolas;BRA - América/Brasil; $2,757,357.72 ; $2,194,631.65 
Q1 2019;TV;IND - Asia/India; $2,750,202.04 ; $2,469,569.18 
Q4 2018;Consolas;IDN - Asia/Indonesia; $2,746,798.95 ; $2,508,399.69 
Q2 2018;Audio;DEU - Europa/Alemania; $2,716,395.97 ; $1,489,293.62 
Q2 2017;Accesorios;CHN - Asia/China; $2,699,759.40 ; $2,529,935.82 
Q4 2018;Audio;IND - Asia/India; $2,691,341.63 ; $1,656,210.23 
Q3 2018;Audio;IND - Asia/India; $2,681,446.99 ; $1,462,607.45 
Q3 2018;TV;CHN - Asia/China; $2,672,996.86 ; $2,432,427.14 
Q2 2019;Accesorios;USA - América/Estados Unidos; $2,669,909.59 ; $2,062,706.07 
Q3 2019;Video Juegos;DEU - Europa/Alemania; $2,656,031.61 ; $1,593,618.97 
Q1 2017;Accesorios;USA - América/Estados Unidos; $2,637,015.30 ; $2,172,034.34 
Q3 2017;Accesorios;CHN - Asia/China; $2,636,031.19 ; $2,321,408.11 
Q2 2019;Video Juegos;CHN - Asia/China; $2,607,125.38 ; $1,793,522.46 
Q2 2017;Accesorios;USA - América/Estados Unidos; $2,604,921.82 ; $2,003,102.72 
Q2 2019;Audio;CHN - Asia/China; $2,597,020.23 ; $1,541,275.05 
Q4 2018;Accesorios;USA - América/Estados Unidos; $2,589,166.33 ; $1,990,987.24 
Q4 2019;Video Juegos;DEU - Europa/Alemania; $2,575,788.97 ; $1,441,321.91 
Q3 2018;Video Juegos;IND - Asia/India; $2,559,135.37 ; $1,492,828.97 
Q2 2019;Video Juegos;DEU - Europa/Alemania; $2,552,653.14 ; $1,516,275.96 
Q1 2017;Consolas;BRA - América/Brasil; $2,548,466.98 ; $2,255,539.74 
Q2 2019;TV;IND - Asia/India; $2,547,020.89 ; $2,027,220.71 
Q4 2019;TV;IND - Asia/India; $2,533,650.70 ; $2,245,735.85 
Q1 2017;Accesorios;CHN - Asia/China; $2,491,664.34 ; $2,354,622.80 
Q1 2018;Audio;IND - Asia/India; $2,480,794.50 ; $1,488,476.70 
Q4 2019;Audio;CHN - Asia/China; $2,472,439.95 ; $1,557,637.17 
Q2 2018;Accesorios;USA - América/Estados Unidos; $2,469,666.32 ; $2,074,205.43 
Q4 2017;Accesorios;USA - América/Estados Unidos; $2,469,666.29 ; $1,889,831.60 
Q4 2018;Audio;DEU - Europa/Alemania; $2,442,473.69 ; $1,530,616.84 
Q2 2019;Consolas;IDN - Asia/Indonesia; $2,431,074.94 ; $2,161,711.83 
Q1 2019;Consolas;IDN - Asia/Indonesia; $2,431,074.94 ; $2,309,768.42 
Q2 2019;Consolas;NGA - África/Nigeria; $2,429,864.65 ; $2,164,549.70 
Q4 2017;Accesorios;CHN - Asia/China; $2,418,091.61 ; $2,186,357.83 
Q3 2019;Audio;CHN - Asia/China; $2,410,184.26 ; $1,380,378.26 
Q3 2018;Accesorios;USA - América/Estados Unidos; $2,404,918.52 ; $2,055,638.04 
Q3 2017;Accesorios;USA - América/Estados Unidos; $2,404,918.48 ; $1,810,919.19 
Q3 2019;TV;DEU - Europa/Alemania; $2,374,891.78 ; $1,911,787.88 
Q2 2018;TV;IND - Asia/India; $2,368,031.11 ; $1,903,711.28 
Q1 2018;Accesorios;USA - América/Estados Unidos; $2,360,710.44 ; $2,027,655.46 
Q1 2018;Consolas;NGA - África/Nigeria; $2,353,931.38 ; $2,118,538.24 
Q2 2017;Celulares;IDN - Asia/Indonesia; $2,350,039.10 ; $2,284,095.22 
Q4 2019;Accesorios;USA - América/Estados Unidos; $2,343,479.06 ; $1,930,256.91 
Q1 2019;Accesorios;USA - América/Estados Unidos; $2,343,479.02 ; $2,010,497.02 
Q4 2019;TV;DEU - Europa/Alemania; $2,298,075.87 ; $1,833,070.15 
Q1 2019;Celulares;IDN - Asia/Indonesia; $2,274,231.39 ; $2,142,986.23 
Q1 2018;Consolas;IDN - Asia/Indonesia; $2,274,231.39 ; $1,954,887.95 
Q2 2019;TV;DEU - Europa/Alemania; $2,273,563.06 ; $1,905,780.80 
Q4 2017;Consolas;BRA - América/Brasil; $2,272,957.04 ; $1,881,067.89 
Q1 2018;Video Juegos;DEU - Europa/Alemania; $2,261,901.70 ; $1,395,916.48 
Q2 2017;Consolas;NGA - África/Nigeria; $2,248,531.47 ; $1,801,323.54 
Q2 2018;Consolas;RUS - Asia/Rusia; $2,248,410.40 ; $2,168,645.84 
Q2 2018;Video Juegos;IND - Asia/India; $2,237,280.93 ; $1,408,658.36 
Q1 2018;Audio;DEU - Europa/Alemania; $2,227,236.54 ; $1,175,980.89 
Q1 2019;TV;DEU - Europa/Alemania; $2,226,073.49 ; $1,542,147.93 
Q1 2019;TV;CHN - Asia/China; $2,218,646.42 ; $1,959,804.34 
Q1 2019;Consolas;BRA - América/Brasil; $2,213,142.38 ; $1,824,871.78 
Q3 2018;Video Juegos;DEU - Europa/Alemania; $2,210,299.38 ; $1,111,876.69 
Q4 2019;Consolas;IDN - Asia/Indonesia; $2,203,161.66 ; $2,131,315.40 
Q3 2018;TV;IND - Asia/India; $2,190,251.00 ; $1,792,023.54 
Q1 2018;Consolas;BRA - América/Brasil; $2,184,400.27 ; $1,801,172.15 
Q3 2018;Consolas;IDN - Asia/Indonesia; $2,180,448.65 ; $2,192,869.86 
Q2 2019;TV;CHN - Asia/China; $2,175,426.05 ; $1,883,460.97 
Q1 2018;Video Juegos;IND - Asia/India; $2,164,253.95 ; $1,223,273.97 
Q4 2017;Celulares;IDN - Asia/Indonesia; $2,158,199.18 ; $1,976,334.93 
Q3 2017;Consolas;IDN - Asia/Indonesia; $2,158,199.18 ; $1,932,869.03 
Q4 2018;TV;IND - Asia/India; $2,157,850.83 ; $1,792,113.40 
Q4 2019;Video Juegos;CHN - Asia/China; $2,147,535.99 ; $1,274,515.92 
Q3 2017;Audio;CAN - América/Canadá; $2,142,445.35 ; $1,403,671.09 
Q3 2018;Celulares;IDN - Asia/Indonesia; $2,136,399.19 ; $2,090,065.66 
Q1 2017;Consolas;RUS - Asia/Rusia; $2,125,769.83 ; $2,168,901.12 
Q3 2018;Accesorios;CHN - Asia/China; $2,124,834.71 ; $1,846,408.10 
Q4 2018;Celulares;IDN - Asia/Indonesia; $2,115,035.19 ; $2,108,720.74 
Q3 2018;Audio;DEU - Europa/Alemania; $2,113,849.95 ; $1,083,828.52 
Q3 2019;Video Juegos;CHN - Asia/China; $2,107,016.43 ; $1,206,745.77 
Q4 2019;Celulares;IDN - Asia/Indonesia; $2,073,563.92 ; $1,912,948.09 
Q1 2019;Consolas;NGA - África/Nigeria; $2,063,720.66 ; $1,650,116.65 
Q4 2019;Camaras;USA - América/Estados Unidos; $2,061,358.78 ; $1,267,543.60 
Q2 2018;Consolas;JPN - Asia/Japón; $2,057,311.08 ; $1,600,130.84 
Q3 2017;Consolas;RUS - Asia/Rusia; $2,051,181.42 ; $1,977,413.44 
Q2 2018;Consolas;NGA - África/Nigeria; $2,035,832.55 ; $1,860,010.64 
Q2 2018;Video Juegos;DEU - Europa/Alemania; $2,032,548.03 ; $1,228,239.74 
Q3 2019;Consolas;MEX - América/México; $2,025,642.01 ; $1,808,223.10 
Q3 2018;Consolas;BRA - América/Brasil; $2,002,366.91 ; $1,689,497.08 
Q2 2017;Audio;CAN - América/Canadá; $1,995,702.51 ; $1,088,565.01 
Q4 2018;Camaras;USA - América/Estados Unidos; $1,994,140.52 ; $1,040,421.14 
Q1 2019;Video Juegos;CHN - Asia/China; $1,988,223.20 ; $1,367,760.44 
Q1 2018;Accesorios;CHN - Asia/China; $1,982,340.85 ; $1,756,230.09 
Q2 2019;Accesorios;IND - Asia/India; $1,978,116.63 ; $1,724,511.94 
Q2 2017;Camaras;USA - América/Estados Unidos; $1,972,698.09 ; $1,236,263.57 
Q3 2018;Audio;CAN - América/Canadá; $1,968,733.56 ; $1,112,762.45 
Q3 2019;Consolas;NGA - África/Nigeria; $1,956,514.39 ; $1,673,906.76 
Q2 2018;Consolas;BRA - América/Brasil; $1,955,800.24 ; $1,612,677.39 
Q1 2019;Accesorios;IND - Asia/India; $1,946,211.53 ; $1,751,590.37 
Q4 2019;Accesorios;IND - Asia/India; $1,942,295.61 ; $1,672,532.33 
Q4 2018;TV;DEU - Europa/Alemania; $1,931,258.26 ; $1,514,778.22 
Q1 2017;Video Juegos;IND - Asia/India; $1,930,641.83 ; $1,188,087.28 
Q2 2017;Audio;IND - Asia/India; $1,922,950.03 ; $1,048,881.84 
Q1 2018;Celulares;IDN - Asia/Indonesia; $1,922,759.27 ; $2,027,292.51 
Q2 2017;Consolas;RUS - Asia/Rusia; $1,916,677.72 ; $1,893,472.48 
Q4 2018;Consolas;BRA - América/Brasil; $1,911,350.23 ; $1,686,485.50 
Q1 2018;TV;IND - Asia/India; $1,909,302.57 ; $1,679,266.12 
Q4 2017;Consolas;NGA - África/Nigeria; $1,906,982.38 ; $1,594,386.84 
Q3 2017;Camaras;USA - América/Estados Unidos; $1,902,557.72 ; $1,091,902.69 
Q3 2017;Video Juegos;IND - Asia/India; $1,900,238.03 ; $1,169,377.25 
Q1 2017;Audio;DEU - Europa/Alemania; $1,899,701.76 ; $1,253,803.16 
Q1 2017;Audio;IND - Asia/India; $1,885,392.42 ; $1,160,241.49 
Q2 2019;Camaras;USA - América/Estados Unidos; $1,877,524.13 ; $1,047,604.05 
Q4 2018;Accesorios;CHN - Asia/China; $1,875,087.36 ; $1,747,623.56 
